Key	Values	Source
kOperatorRoamingInfo_Subscriber_Mcc	505	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
is_activation_policy_locked	1:kFalse	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
ReportedPhoneNumber	61466521390	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
kOperatorRoamingInfo_3GPP_Roaming	False	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
kCKUploadDate	19547	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
activation_5g_support	1:kFalse	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
subscriber_account_ids	[{'second': '', 'first': '1:kOne'}]	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
SIMPhoneNumber	+61466521390	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
LteDbHasDeploymentTypeKey	1	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
EnableLTEAfterUpgrade	True	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
PersonalWallet	{'89610182001195906452': {'SimPin': {'InitialActiveState': False}, 'Capabilities': {'SimCallAndDataCurrentlySupported': True, 'NetworkSupportsVoPS': True, 'SimCallAndDataSupported': True}, 'CarrierEntitlements': {'kEntitlementsSelfRegistrationUpdateImei': '356701082639462', 'lastGoodImsi': '505013543711669', 'kEntitlementsSelfRegistrationUpdateImsi': '505013543711669'}, 'RegistrationController': {'lastKnownIMSFeatureState': 2}, 'VoiceMail': {'VVMSubscribed': True}, 'PhoneServices': {'VoLTENetworkSeen': True}, 'SMSControllerWalletDomain': {'TPMR': 135}}}	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
PhoneNumber	61466521390	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
EnhancedLQMDataTransferTimeRegistration	False	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
com.apple.carrier_1	50501	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
EnhancedLQMDataStallRegistration	True	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
EnhancedLQMLinkStateRegistration	True	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
EnhancedLQMLinkQualityFingerPrintRegistration	True	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
EnhancedLQMLinkPowerCostRegistration	True	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
LastKnownICCID	89610182001195906452	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
PhoneNumberChangeReport	True	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
LastKnownServingMcc	505	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
NetworkPhoneNumberICCID	89610182001195906452	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
LastKnownServingMnc	1	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
NetworkPhoneNumber	+61466521390	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
LASDNextUpdate	2023-07-20 06:29:34.708648	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
EnhancedLQMTrafficClassRegistration	True	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
PhoneServices	{'Version': 1}	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.plist
